enst_id	gene_name
ENST00000263640	ACVR1
ENST00000257254	APLNR
ENST00000349310	AKT1
ENST00000263464	BIRC3
ENST00000355640	XIAP
ENST00000278616	ATM
ENST00000559916	B2M
ENST00000333681	BCL2
ENST00000232014	BCL6
ENST00000300305	RUNX1
ENST00000344548	CDC42
ENST00000265734	CDK6
ENST00000244741	CDKN1A
ENST00000262662	CDKN2C
ENST00000428830	CHEK1
ENST00000361632	CSF3R
ENST00000398568	CYLD
ENST00000266000	DAXX
ENST00000264709	DNMT3A
ENST00000359651	ELF3
ENST00000206249	ESR1
ENST00000368678	FYN
ENST00000262994	GAB1
ENST00000404338	ARHGAP35
ENST00000289316	H2BC5
ENST00000376809	HLA-A
ENST00000376228	HLA-C
ENST00000451590	HRAS
ENST00000262160	SMAD2
ENST00000372115	MUTYH
ENST00000396334	MYD88
ENST00000219066	NTHL1
ENST00000277120	NTRK2
ENST00000289153	PIK3CB
ENST00000356435	PTPRD
ENST00000421138	RECQL
ENST00000295900	ATXN7
ENST00000359995	SRSF2
ENST00000618915	SMARCB1
ENST00000358208	SRC
ENST00000312783	AURKA
ENST00000375746	SYK
ENST00000383119	TAP2
ENST00000284811	ELOC
ENST00000237289	TNFAIP3
ENST00000541158	TSHR
ENST00000382891	NSD2
ENST00000438362	CSDE1
ENST00000628161	RBM10
ENST00000634733	H3C6
ENST00000347630	SPOP
ENST00000371975	RAD54L
ENST00000262992	INPP4B
ENST00000253339	LATS1
ENST00000263826	AKT3
ENST00000235310	MAD2L2
ENST00000393063	DICER1
ENST00000300177	GREM1
ENST00000318789	FOXP1
ENST00000344624	DROSHA
ENST00000308874	EGFL7
ENST00000281708	FBXW7
ENST00000395288	KBTBD4
ENST00000338099	CMTR2
ENST00000282018	CYSLTR2
ENST00000381566	CRLF2
ENST00000341426	NADK
ENST00000271452	NUF2
