enst_id	ensp_id	uniprot_protein_length	Final_mapping_uniprot_id	Gene_Symbol
ENST00000000233	ENSP00000000233	180	P84085	ARF5
ENST00000000412	ENSP00000000412	277	P20645	M6PR
ENST00000000442	ENSP00000000442	423	P11474	ESRRA
ENST00000001008	ENSP00000001008	459	Q02790	FKBP4
ENST00000001146	ENSP00000001146	512	Q9NR63	CYP26B1
ENST00000002125	ENSP00000002125	441	Q7L592	NDUFAF7
ENST00000002165	ENSP00000002165	467	Q9BTY2	FUCA2
ENST00000002501	ENSP00000002501	158	Q9H9R9	DBNDD1
ENST00000002596	ENSP00000002596	307	O14792	HS3ST1
ENST00000002829	ENSP00000002829	785	Q13275	SEMA3F
ENST00000003084	ENSP00000003084	1480	P13569	CFTR
ENST00000003302	ENSP00000003302	1077	Q96RU2	USP28
ENST00000004103	ENSP00000004103	235	Q96HP8	TMEM176A
ENST00000004982	ENSP00000004982	160	O14558	HSPB6
ENST00000005178	ENSP00000005178	411	Q16654	PDK4
ENST00000005180	ENSP00000005180	94	Q9Y258	CCL26
ENST00000005257	ENSP00000005257	206	P11233	RALA
ENST00000005259	ENSP00000005259	241	Q9UHQ4	BCAP29
ENST00000005260	ENSP00000005260	511	Q9UHR4	BAIAP2L1
ENST00000005284	ENSP00000005284	315	O60359	CACNG3
ENST00000005340	ENSP00000005340	736	O14641	DVL2
ENST00000005386	ENSP00000005386	665	Q9H6T3	RPAP3
ENST00000005558	ENSP00000005558	451	O00458	IFRD1
ENST00000005756	ENSP00000005756	317	O95045	UPP2
ENST00000005995	ENSP00000005995	314	Q9Y6M0	PRSS21
ENST00000006015	ENSP00000006015	313	P31270	HOXA11
ENST00000006053	ENSP00000006053	397	P78423	CX3CL1
ENST00000006750	ENSP00000006750	229	P40259	CD79B
ENST00000006777	ENSP00000006777	364	Q6NTF9	RHBDD2
ENST00000007264	ENSP00000007264	312	Q9UJJ7	RPUSD1
ENST00000007390	ENSP00000007390	312	Q9UJK0	TSR3
ENST00000007414	ENSP00000007414	842	Q9BZF2	OSBPL7
ENST00000007516	ENSP00000007516	156	O14561	NDUFAB1
ENST00000007699	ENSP00000007699	364	Q9Y2T7	YBX2
ENST00000007735	ENSP00000007735	404	O76009	KRT33A
ENST00000007969	ENSP00000007969	343	Q53EV4	LRRC23
ENST00000008391	ENSP00000008391	452	Q7Z6R9	TFAP2D
ENST00000008527	ENSP00000008527	586	Q16526	CRY1
ENST00000008938	ENSP00000008938	196	O75594	PGLYRP1
ENST00000009041	ENSP00000009041	234	O95772	STARD3NL
ENST00000009105	ENSP00000009105	476	Q96NX5	CAMK1G
ENST00000009180	ENSP00000009180	228	P21926	CD9
ENST00000009530	ENSP00000009530	296	P04233	CD74
ENST00000009589	ENSP00000009589	119	P60866	RPS20
ENST00000010132	ENSP00000010132	520	Q9NR20	DYRK4
ENST00000010404	ENSP00000010404	155	P10620	MGST1
ENST00000011292	ENSP00000011292	419	P15085	CPA1
ENST00000011473	ENSP00000011473	259	Q16563	SYPL1
ENST00000011619	ENSP00000011619	729	Q96S59	RANBP9
ENST00000011653	ENSP00000011653	458	P01730	CD4
ENST00000011684	ENSP00000011684	790	Q3KR16	PLEKHG6
ENST00000011691	ENSP00000011691	77	Q9UHA2	SS18L2
ENST00000011898	ENSP00000011898	239	O75954	TSPAN9
ENST00000012049	ENSP00000012049	382	Q9NXS2	QPCTL
ENST00000012134	ENSP00000012134	2446	P31629	HIVEP2
ENST00000012443	ENSP00000012443	499	P53041	PPP5C
ENST00000013070	ENSP00000013070	425	Q8N806	UBR7
ENST00000013125	ENSP00000013125	846	Q9Y4K4	MAP4K5
ENST00000013222	ENSP00000013222	263	O95050	INMT
ENST00000014914	ENSP00000014914	357	Q8NFJ5	GPRC5A
ENST00000014930	ENSP00000014930	189	Q9NRV9	HEBP1
ENST00000014935	ENSP00000014935	302	P49184	DNASE1L1
ENST00000016171	ENSP00000016171	410	Q7KZN9	COX15
ENST00000016913	ENSP00000016913	267	Q9NXJ0	MS4A12
ENST00000016946	ENSP00000016946	1765	Q99666	RGPD5
ENST00000017003	ENSP00000017003	865	Q9H1B5	XYLT2
ENST00000019103	ENSP00000019103	440	P47872	SCTR
