Transcript stable ID	CCDS ID
ENSMUST00000082387	
ENSMUST00000082388	
ENSMUST00000082389	
ENSMUST00000082390	
ENSMUST00000082391	
ENSMUST00000082392	
ENSMUST00000082393	
ENSMUST00000082394	
ENSMUST00000082395	
ENSMUST00000082396	
ENSMUST00000082397	
ENSMUST00000082398	
ENSMUST00000082399	
ENSMUST00000082400	
ENSMUST00000082401	
ENSMUST00000082402	
ENSMUST00000082403	
ENSMUST00000082404	
ENSMUST00000082405	
ENSMUST00000082406	
ENSMUST00000082407	
ENSMUST00000082408	
ENSMUST00000082409	
ENSMUST00000082410	
ENSMUST00000082411	
ENSMUST00000082412	
ENSMUST00000084013	
ENSMUST00000082414	
ENSMUST00000082415	
ENSMUST00000082416	
ENSMUST00000082417	
ENSMUST00000082418	
ENSMUST00000082419	
ENSMUST00000082420	
ENSMUST00000082421	
ENSMUST00000082422	
ENSMUST00000082423	
ENSMUST00000118851	
ENSMUST00000220624	
ENSMUST00000234132	
ENSMUST00000209150	
ENSMUST00000197218	
ENSMUST00000174441	
ENSMUST00000238551	
ENSMUST00000137349	
ENSMUST00000179262	
ENSMUST00000190437	
ENSMUST00000155165	
ENSMUST00000222507	
ENSMUST00000208212	
ENSMUST00000223330	
ENSMUST00000220765	
ENSMUST00000199583	
ENSMUST00000176406	
ENSMUST00000169531	
ENSMUST00000191260	
ENSMUST00000180508	
ENSMUST00000099874	CCDS16270
ENSMUST00000205019	
ENSMUST00000120148	
ENSMUST00000222745	
ENSMUST00000208561	
ENSMUST00000186324	
ENSMUST00000189182	
ENSMUST00000205181	CCDS24346
ENSMUST00000120065	
ENSMUST00000238354	
ENSMUST00000153461	
ENSMUST00000163303	
ENSMUST00000238691	
ENSMUST00000120647	
ENSMUST00000222877	
ENSMUST00000223513	
ENSMUST00000221908	
ENSMUST00000173265	
ENSMUST00000010189	CCDS23490
ENSMUST00000153774	
ENSMUST00000214177	CCDS24346
ENSMUST00000181409	
ENSMUST00000217187	
ENSMUST00000176956	
ENSMUST00000180633	
ENSMUST00000188536	
ENSMUST00000031931	CCDS20043
ENSMUST00000054364	CCDS24346
ENSMUST00000232575	
ENSMUST00000208320	
ENSMUST00000176452	
ENSMUST00000230877	
ENSMUST00000190201	
ENSMUST00000169555	
ENSMUST00000209173	
ENSMUST00000188686	
ENSMUST00000234774	
ENSMUST00000065335	CCDS26264
ENSMUST00000221767	
ENSMUST00000099425	
ENSMUST00000122034	
ENSMUST00000165448	
ENSMUST00000221643	
ENSMUST00000103263	
ENSMUST00000185226	
ENSMUST00000207242	
ENSMUST00000222396	
ENSMUST00000167475	
ENSMUST00000222664	
ENSMUST00000075085	CCDS20765
ENSMUST00000231333	
ENSMUST00000221011	
ENSMUST00000219595	
ENSMUST00000182967	
ENSMUST00000222409	
ENSMUST00000178549	
ENSMUST00000200454	
ENSMUST00000218588	
ENSMUST00000208756	
ENSMUST00000218759	
ENSMUST00000121650	
ENSMUST00000099401	CCDS29859
ENSMUST00000026881	CCDS14832
ENSMUST00000222772	
ENSMUST00000080126	CCDS27038
ENSMUST00000220475	
ENSMUST00000103264	
ENSMUST00000165255	CCDS50208
ENSMUST00000179450	CCDS16336
ENSMUST00000180532	
ENSMUST00000222969	
ENSMUST00000193012	
ENSMUST00000207758	
ENSMUST00000103337	
ENSMUST00000131326	
ENSMUST00000207420	
ENSMUST00000189845	
ENSMUST00000196649	
ENSMUST00000221268	
ENSMUST00000238529	
ENSMUST00000164366	
ENSMUST00000186875	
ENSMUST00000117106	
ENSMUST00000126038	CCDS16336
ENSMUST00000190366	CCDS78550
ENSMUST00000167833	
ENSMUST00000208436	
ENSMUST00000222537	
ENSMUST00000234980	
ENSMUST00000189497	
ENSMUST00000179166	
ENSMUST00000078475	CCDS20766
