gene_name	refseq_id	enst_id	note
ABL1	NM_005157.6	ENST00000318560.6	oncokb transcript, MANE select
ABRAXAS1	NM_139076.3	ENST00000321945.12	oncokb transcript, MANE select
ACVR1	NM_001111067.2	ENST00000263640.7	oncokb transcript
AGO1	NM_012199.5	ENST00000373204.6	oncokb transcript, MANE select
AGO2	NM_012154.5	ENST00000220592.10	oncokb transcript, MANE select
AKT1	NM_001014431.1	ENST00000349310.7	oncokb transcript
AKT2	NM_001626.6	ENST00000392038.7	oncokb transcript, MANE select
AKT3	NM_005465.4	ENST00000263826.12	oncokb transcript
ALB	NM_000477.7	ENST00000295897.9	oncokb transcript, MANE select
ALK	NM_004304.5	ENST00000389048.8	oncokb transcript, MANE select
ALOX12B	NM_001139.3	ENST00000647874.1	oncokb transcript, MANE select
AMER1	NM_152424.4	ENST00000374869.8	oncokb transcript, MANE select
ANKRD11	NM_013275.6	ENST00000301030.10	oncokb transcript, MANE select
APC	NM_000038.6	ENST00000257430.9	oncokb transcript, MANE select
APLNR	NM_005161.4	ENST00000257254.3	oncokb transcript
AR	NM_000044.6	ENST00000374690.9	oncokb transcript, MANE select
ARAF	NM_001654.5	ENST00000377045.9	oncokb transcript, MANE select
ARHGAP35	NM_004491.5	ENST00000672722.1	oncokb transcript, MANE select
ARID1A	NM_006015.6	ENST00000324856.13	oncokb transcript, MANE select
ARID1B	NM_001374828.1	ENST00000636930.2	oncokb transcript, MANE select
ARID2	NM_152641.4	ENST00000334344.11	oncokb transcript, MANE select
ARID5B	NM_032199.3	ENST00000279873.12	oncokb transcript, MANE select
ASXL1	NM_015338.6	ENST00000375687.10	oncokb transcript, MANE select
ASXL2	NM_018263.6	ENST00000435504.9	oncokb transcript, MANE select
ATM	NM_000051.3	ENST00000278616.9	oncokb transcript
ATR	NM_001184.4	ENST00000350721.9	oncokb transcript, MANE select
ATRX	NM_000489.6	ENST00000373344.11	oncokb transcript, MANE select
