Transcript stable ID	CCDS ID
ENST00000566782	
ENST00000562780	
ENST00000569579	
ENST00000568242	
ENST00000565530	
ENST00000411184	
ENST00000418454	
ENST00000384428	
ENST00000414345	
ENST00000517143	
ENST00000452855	
ENST00000443228	
ENST00000418445	
ENST00000516556	
ENST00000434567	
ENST00000443092	
ENST00000426409	
ENST00000445540	
ENST00000391257	
ENST00000575689	
ENST00000576696	
ENST00000436329	
ENST00000443778	
ENST00000425800	
ENST00000390768	
ENST00000410197	
ENST00000470538	
ENST00000457365	
ENST00000433569	
ENST00000438290	
ENST00000299197	
ENST00000382133	
ENST00000417034	
ENST00000434403	
ENST00000435039	
ENST00000563184	
ENST00000516526	
ENST00000459449	
ENST00000411366	
ENST00000363341	
ENST00000442969	
ENST00000604810	
ENST00000420143	
ENST00000602724	
ENST00000416909	
ENST00000439928	
ENST00000606011	
ENST00000499499	
ENST00000451446	
ENST00000516886	
ENST00000442927	
ENST00000430733	
ENST00000439477	
ENST00000449656	
ENST00000423502	
ENST00000445588	
ENST00000540358	
ENST00000516092	
ENST00000561557	
ENST00000412282	
ENST00000414485	
ENST00000482613	
ENST00000415152	
ENST00000426420	
ENST00000445572	
ENST00000442053	
ENST00000440905	
ENST00000450973	
ENST00000442322	
ENST00000582879	
ENST00000606237	
ENST00000455130	
ENST00000453253	
ENST00000453498	
ENST00000606916	
ENST00000606096	
ENST00000390174	
ENST00000410540	
ENST00000384743	
ENST00000516345	
ENST00000431005	
ENST00000459402	
ENST00000453862	
ENST00000365420	
ENST00000438849	
ENST00000603247	
ENST00000437334	
ENST00000457591	
ENST00000459616	
ENST00000443410	
ENST00000604129	
ENST00000434100	
ENST00000429698	
ENST00000446770	
ENST00000411037	
ENST00000582699	
ENST00000435256	
ENST00000595998	
ENST00000381871	
ENST00000597248	
ENST00000432229	
ENST00000505530	
ENST00000428810	
ENST00000604953	
ENST00000434547	
ENST00000545020	
ENST00000401550	
ENST00000413501	
ENST00000451978	
ENST00000457628	
ENST00000435725	
ENST00000430810	
ENST00000476209	
ENST00000431134	
ENST00000567516	
ENST00000439367	
ENST00000408397	
ENST00000568856	
ENST00000566356	
ENST00000447693	
ENST00000417594	
ENST00000577303	
ENST00000568277	
ENST00000362897	
ENST00000384568	
ENST00000562781	
ENST00000447435	
ENST00000320572	
ENST00000482473	
ENST00000413224	
ENST00000411226	
ENST00000561776	
ENST00000439079	
ENST00000491037	
ENST00000426037	
ENST00000445737	
ENST00000364923	
ENST00000426792	
ENST00000394213	
ENST00000384986	
ENST00000425846	
ENST00000428776	
ENST00000603212	
ENST00000446203	
ENST00000582220	
ENST00000431978	
ENST00000366259	
ENST00000425466	
ENST00000390895	
ENST00000437113	
ENST00000586418	
ENST00000413063	
ENST00000585599	
ENST00000395943	
ENST00000436148	
ENST00000413365	
ENST00000583390	
ENST00000456044	
ENST00000402278	
ENST00000430125	
ENST00000440657	
ENST00000452222	
ENST00000416009	
ENST00000444744	
ENST00000364375	
ENST00000459208	
ENST00000384769	
ENST00000564841	
ENST00000384323	
ENST00000408829	
ENST00000455914	
ENST00000516438	
ENST00000431171	
ENST00000364372	
ENST00000451989	
ENST00000366409	
ENST00000516690	
ENST00000432924	
ENST00000567371	
ENST00000603008	
ENST00000568084	
ENST00000414095	
ENST00000567419	
ENST00000384600	
ENST00000451662	
ENST00000499662	
ENST00000455958	
ENST00000562865	
ENST00000414553	
ENST00000567234	
ENST00000568643	
ENST00000487762	
ENST00000568276	
ENST00000605192	
ENST00000568474	
ENST00000454752	
ENST00000608779	
ENST00000429873	
ENST00000420602	
ENST00000427219	
ENST00000563843	
ENST00000538139	
ENST00000454311	
ENST00000417549	
ENST00000363970	
ENST00000457843	
ENST00000421800	
ENST00000365367	
ENST00000397387	
ENST00000419457	
ENST00000436722	
ENST00000422362	
ENST00000408743	
ENST00000606869	
ENST00000364285	
ENST00000434779	
ENST00000400214	
ENST00000417624	
ENST00000452602	
ENST00000581814	
ENST00000425504	
ENST00000605701	
ENST00000415870	
ENST00000364820	
ENST00000323380	
ENST00000577547	
ENST00000587588	
ENST00000447779	
ENST00000452384	
ENST00000453470	
ENST00000607251	
ENST00000450264	
ENST00000437115	
ENST00000444686	
ENST00000451630	
ENST00000400540	
ENST00000481738	
ENST00000606448	
ENST00000380640	
ENST00000585222	
ENST00000418923	
ENST00000569288	
ENST00000413591	
ENST00000432770	
ENST00000602560	
ENST00000437721	
ENST00000459526	
ENST00000430111	
ENST00000435044	
ENST00000410369	
ENST00000579551	
ENST00000517119	
ENST00000605100	
ENST00000298105	
ENST00000450181	
ENST00000607072	
ENST00000444795	
ENST00000412722	
ENST00000415853	
ENST00000455851	
ENST00000448407	
ENST00000447147	
ENST00000608426	
ENST00000596398	
ENST00000420210	
ENST00000601607	
ENST00000599179	
ENST00000417079	
ENST00000598478	
ENST00000429808	
ENST00000454555	
ENST00000420219	
ENST00000599264	
ENST00000450327	
ENST00000415294	
ENST00000452659	
ENST00000444319	
ENST00000608220	
ENST00000416261	
ENST00000608624	
ENST00000414368	
ENST00000420694	
ENST00000598229	
ENST00000516741	
ENST00000436446	
ENST00000410711	
ENST00000538122	
ENST00000410750	
ENST00000393978	
ENST00000439790	
ENST00000435024	
ENST00000444865	
ENST00000442257	
ENST00000446059	
ENST00000433704	
ENST00000607593	
ENST00000421601	
ENST00000414407	
ENST00000565220	
ENST00000429024	
ENST00000562805	
ENST00000452440	
ENST00000565780	
ENST00000563199	
ENST00000328558	
ENST00000592950	
ENST00000563935	
ENST00000585870	
ENST00000569590	
ENST00000356139	
ENST00000588726	
ENST00000590344	
ENST00000459108	
ENST00000567112	
ENST00000593246	
ENST00000408389	
ENST00000590721	
ENST00000562657	
ENST00000451495	
ENST00000364977	
ENST00000563461	
ENST00000586973	
ENST00000408723	
ENST00000586464	
ENST00000588425	
ENST00000408546	
ENST00000585582	
ENST00000449551	
ENST00000411835	
ENST00000589840	
ENST00000411245	
ENST00000429200	
ENST00000587596	
ENST00000591131	
ENST00000392864	
ENST00000591300	
ENST00000412809	
ENST00000440633	
ENST00000439299	
ENST00000433788	
ENST00000455487	
ENST00000415283	
