hugo_symbol	transcript_id
PTPN11	ENST00000351677
HIST1H3H	ENST00000369163
HIST1H4K	ENST00000357549
HIST1H4J	ENST00000355057
HIST1H4L	ENST00000355981
AMY1C	ENST00000370079
AKR7L	ENST00000420396
HIST1H2AE	ENST00000303910
TUBA3D	ENST00000321253
HBA2	ENST00000251595
ERBB2IP	ENST00000284037
RQCD1	ENST00000273064
FMNL3	ENST00000335154
ZNF777	ENST00000247930
DOT1L	ENST00000398665
HIST1H4E	ENST00000360441
HIST2H3D	ENST00000331491
HIST4H4	ENST00000539745
HIST1H3E	ENST00000360408
HIST1H3G	ENST00000305910
ESYT2	ENST00000251527
HIST1H3B	ENST00000244661
HIST1H3C	ENST00000540144
HIST1H2BI	ENST00000377733
HIST1H2BE	ENST00000356530
