Transcript stable ID	CCDS ID
ENST00000387314	
ENST00000389680	
ENST00000387342	
ENST00000387347	
ENST00000386347	
ENST00000361390	
ENST00000387365	
ENST00000387372	
ENST00000387377	
ENST00000361453	
ENST00000387382	
ENST00000387392	
ENST00000387400	
ENST00000387405	
ENST00000387409	
ENST00000361624	
ENST00000387416	
ENST00000387419	
ENST00000361739	
ENST00000387421	
ENST00000361851	
ENST00000361899	
ENST00000362079	
ENST00000387429	
ENST00000361227	
ENST00000387439	
ENST00000361335	
ENST00000361381	
ENST00000387441	
ENST00000387449	
ENST00000387456	
ENST00000361567	
ENST00000361681	
ENST00000387459	
ENST00000361789	
ENST00000387460	
ENST00000387461	
ENST00000603787	
ENST00000641542	
ENST00000406097	
ENST00000509506	
ENST00000486414	
ENST00000567765	
ENST00000506872	
ENST00000580842	
ENST00000603386	
ENST00000603004	
ENST00000425192	
ENST00000631403	
ENST00000577309	
ENST00000533326	
ENST00000554408	
ENST00000246222	
ENST00000565670	
ENST00000358484	
ENST00000504344	
ENST00000452746	
ENST00000604200	
ENST00000424993	
ENST00000424895	
ENST00000562328	
ENST00000529793	
ENST00000578567	
ENST00000444901	
ENST00000420264	
ENST00000418003	
ENST00000584248	
ENST00000582990	
ENST00000395145	CCDS5559
ENST00000531609	
ENST00000578367	
ENST00000505813	
ENST00000448149	
ENST00000306243	CCDS10059
ENST00000507042	
ENST00000525221	
ENST00000555838	
ENST00000582221	
ENST00000601206	
ENST00000482905	
ENST00000519198	
ENST00000566443	
ENST00000432142	
ENST00000436932	
ENST00000390515	
ENST00000489959	
ENST00000562942	
ENST00000418165	
ENST00000520206	
ENST00000525251	
ENST00000419462	
ENST00000564800	
ENST00000584594	
ENST00000517583	
ENST00000495431	
ENST00000449124	
ENST00000592518	
ENST00000519039	
ENST00000584734	
ENST00000390516	
ENST00000588406	
ENST00000624568	
ENST00000400856	
ENST00000439435	CCDS75996
ENST00000518612	
ENST00000507627	
ENST00000581225	
ENST00000583691	
ENST00000497931	
ENST00000595404	
