enst_id	final_uniprot_id
ENST00000000233	P84085
ENST00000000412	P20645
ENST00000000442	P11474
ENST00000001008	Q02790
ENST00000001146	Q9NR63
ENST00000002125	Q7L592
ENST00000002165	Q9BTY2
ENST00000002501	Q9H9R9
ENST00000002596	O14792
ENST00000002829	Q13275
ENST00000003084	P13569
ENST00000003100	
ENST00000003302	Q96RU2
ENST00000003583	Q5TH74-3
ENST00000003607	
ENST00000003834	
ENST00000003912	Q6P499-2
ENST00000004103	Q96HP8
ENST00000004531	P52569-3
ENST00000004921	P55774
ENST00000004980	Q9P0U3
ENST00000004982	O14558
ENST00000005082	O14628-5
ENST00000005178	Q16654
ENST00000005180	Q9Y258
ENST00000005226	Q9Y6N9-5
ENST00000005257	P11233
ENST00000005259	Q9UHQ4
ENST00000005260	Q9UHR4
ENST00000005284	O60359
ENST00000005286	Q24JP5-2
ENST00000005340	O14641
ENST00000005374	O75223-2
ENST00000005386	Q9H6T3
ENST00000005558	O00458
ENST00000005756	O95045
ENST00000005995	Q9Y6M0
ENST00000006015	P31270
ENST00000006053	P78423
ENST00000006101	
ENST00000006251	P85299-3
ENST00000006275	O75865-2
ENST00000006658	Q8TB22-2
ENST00000006724	Q14002
ENST00000006750	P40259
ENST00000006777	Q6NTF9
ENST00000006967	Q6ZMT4-2
ENST00000007264	Q9UJJ7
ENST00000007390	Q9UJK0
ENST00000007414	Q9BZF2
ENST00000007510	O14559
ENST00000007516	O14561
ENST00000007633	
ENST00000007660	P56179-2
ENST00000007699	Q9Y2T7
ENST00000007708	Q15119-2
ENST00000007722	P26006-1
ENST00000007735	O76009
ENST00000007969	Q53EV4
ENST00000008180	P24001-5
ENST00000008391	Q7Z6R9
ENST00000008440	Q9H040-3
ENST00000008527	Q16526
ENST00000008876	Q13387-3
ENST00000008938	O75594
ENST00000009041	O95772
ENST00000009105	Q96NX5
ENST00000009180	P21926
ENST00000009530	P04233
ENST00000009589	P60866
ENST00000010132	Q9NR20
ENST00000010299	Q8TAV0-3
ENST00000010338	Q9Y228-2
ENST00000010404	P10620
ENST00000011292	P15085
ENST00000011473	Q16563
ENST00000011619	Q96S59
ENST00000011653	P01730
ENST00000011684	Q3KR16
ENST00000011691	Q9UHA2
ENST00000011700	
ENST00000011898	O75954
ENST00000011989	P78329-2
ENST00000012049	Q9NXS2
ENST00000012134	P31629
ENST00000012443	P53041
ENST00000013034	P15531-2
ENST00000013070	Q8N806
ENST00000013125	Q9Y4K4
ENST00000013222	O95050
ENST00000013807	P07992-3
ENST00000013894	
ENST00000014914	Q8NFJ5
ENST00000014930	Q9NRV9
ENST00000014935	P49184
ENST00000016171	Q7KZN9
ENST00000016913	Q9NXJ0
ENST00000016946	Q99666
ENST00000017003	Q9H1B5
ENST00000019019	Q9UET6-2
ENST00000019103	P47872
ENST00000019317	Q15311
ENST00000020673	A5PKW4
ENST00000020926	Q7L8C5
ENST00000020945	O43623
ENST00000021776	
ENST00000022615	Q9Y277
ENST00000023064	P82251
ENST00000023897	P14867
